rank,gid,role,priority_score,why,role_score,cluster_id,secondary_role,uncertainty_reason
1,100000003115284100,consolidator,1.0,"Отправителей 8; вход ≈2,16 млн ₸, выход ≈517,0 тыс. ₸. Приоритет: связность. Проверить сбор средств. Выборка неполная.",0.7420565676229957,10,coordinator,role margin=0.06
2,100000003684369100,coordinator,0.9995551601423488,"Отправителей 24; вход ≈3,85 млн ₸, выход ≈8,59 млн ₸. Приоритет: связность. Проверить связи между группами. Внешние поступления могут быть скрыты.",0.7873145775699566,3,peripheral,нет существенной по наблюдаемым данным
3,100000004070318100,transit,0.9991103202846975,"Отправителей 4; вход ≈207,2 тыс. ₸, выход ≈551,9 тыс. ₸. Приоритет: связность. Проверить передачу средств дальше. Выборка неполная.",0.897712127904438,0,peripheral,нет существенной по наблюдаемым данным
4,100000008603629100,coordinator,0.9986654804270463,"Отправителей 19; вход ≈1,82 млн ₸, выход ≈4,99 млн ₸. Приоритет: связность. Проверить связи между группами. Выборка неполная.",0.6085193856861655,4,transit,role margin=0.03
5,100000006866783100,distributor,0.998220640569395,"Отправителей 13; вход ≈838,8 тыс. ₸, выход ≈3,95 млн ₸. Приоритет: связность. Проверить распределение средств. Внешние поступления могут быть скрыты.",0.8228470435223959,0,coordinator,нет существенной по наблюдаемым данным
6,100000008346837100,distributor,0.9977758007117438,"Отправителей 9; вход ≈254,4 тыс. ₸, выход ≈1,26 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9734149855907781,12,transit,нет существенной по наблюдаемым данным
7,100000008165763100,transit,0.9973309608540926,"Отправителей 15; вход ≈1,17 млн ₸, выход ≈1,27 млн ₸. Приоритет: связность. Проверить передачу средств дальше. Выборка неполная.",0.8458364204674503,3,peripheral,нет существенной по наблюдаемым данным
8,100000008477350100,distributor,0.9968861209964412,"Отправителей 11; вход ≈610,1 тыс. ₸, выход ≈3,37 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.99,0,peripheral,нет существенной по наблюдаемым данным
9,100000000331309100,distributor,0.99644128113879,"Отправителей 5; вход ≈984,6 тыс. ₸, выход ≈23,00 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9816117735143006,6,coordinator,нет существенной по наблюдаемым данным
10,100000000343175100,distributor,0.9959964412811388,"Отправителей 8; вход ≈178,7 тыс. ₸, выход ≈4,00 млн ₸. Приоритет: связность. Проверить распределение средств. Внешние поступления могут быть скрыты.",0.9881988472622478,10,peripheral,нет существенной по наблюдаемым данным
11,100000003016635100,distributor,0.9955516014234875,"Отправителей 8; вход ≈587,0 тыс. ₸, выход ≈9,41 млн ₸. Приоритет: связность. Проверить распределение средств. Внешние поступления могут быть скрыты.",0.9168597468329015,5,coordinator,нет существенной по наблюдаемым данным
12,100000004156082100,distributor,0.9951067615658363,"Отправителей 5; вход ≈377,4 тыс. ₸, выход ≈2,32 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9802071325648415,14,transit,нет существенной по наблюдаемым данным
13,100000004400305100,distributor,0.994661921708185,"Отправителей 7; вход ≈222,8 тыс. ₸, выход ≈5,83 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.99,0,transit,нет существенной по наблюдаемым данным
14,100000008304139100,distributor,0.9942170818505338,"Отправителей 4; вход ≈189,3 тыс. ₸, выход ≈1,69 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9801909221902018,3,peripheral,нет существенной по наблюдаемым данным
15,100000001857829100,transit,0.9937722419928826,"Отправителей 6; вход ≈888,5 тыс. ₸, выход ≈2,39 млн ₸. Приоритет: связность. Проверить передачу средств дальше. Выборка неполная.",0.870628577588558,4,peripheral,нет существенной по наблюдаемым данным
16,100000007908818100,peripheral,0.9933274021352313,"Отправителей 4; вход ≈727,5 тыс. ₸, выход ≈302,0 тыс. ₸. Приоритет: связность. Проверить полноту данных. Выборка неполная.",0.3137124033144799,3,consolidator,role margin=0.00
17,100000004351795100,distributor,0.9928825622775801,"Отправителей 3; вход ≈118,3 тыс. ₸, выход ≈1,72 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9766246397694525,0,peripheral,нет существенной по наблюдаемым данным
18,100000001530983100,peripheral,0.9924377224199288,"Отправителей 4; вход ≈564,2 тыс. ₸, выход ≈1,83 млн ₸. Приоритет: масштаб и влияние. Проверить полноту данных. Выборка неполная.",0.2914337175792507,5,distributor,role margin=0.00
19,100000000437046100,distributor,0.9919928825622776,"Отправителей 9; вход ≈1,11 млн ₸, выход ≈7,61 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.950493930715173,0,coordinator,нет существенной по наблюдаемым данным
