rank,gid,role,priority_score,why,role_score,cluster_id,secondary_role,uncertainty_reason
20,100000004403675100,coordinator,0.9915480427046264,"Отправителей 4; вход ≈183,0 тыс. ₸, выход ≈264,7 тыс. ₸. Приоритет: связность. Проверить связи между группами. Выборка неполная.",0.9281579639418205,17,peripheral,нет существенной по наблюдаемым данным
21,100000003701161100,consolidator,0.9911032028469751,"Отправителей 4; вход ≈1,53 млн ₸, выход ≈349,0 тыс. ₸. Приоритет: масштаб и влияние. Проверить сбор средств. Выборка неполная.",0.9619956727087073,20,peripheral,нет существенной по наблюдаемым данным
22,100000006889963100,transit,0.9906583629893239,"Отправителей 4; вход ≈1,43 млн ₸, выход ≈443,5 тыс. ₸. Приоритет: масштаб и влияние. Проверить передачу средств дальше. Выборка неполная.",0.8186350431674054,6,peripheral,нет существенной по наблюдаемым данным
23,100000008748914100,distributor,0.9902135231316725,"Отправителей 2; вход ≈180,0 тыс. ₸, выход ≈4,47 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9801747118155619,3,transit,нет существенной по наблюдаемым данным
24,100000008686313100,consolidator,0.9897686832740213,"Отправителей 6; вход ≈1,91 млн ₸, выход ≈333,8 тыс. ₸. Приоритет: масштаб и влияние. Проверить сбор средств. Выборка неполная.",0.9812490009874497,0,peripheral,нет существенной по наблюдаемым данным
25,100000005527892100,peripheral,0.9893238434163701,"Отправителей 3; вход ≈220,0 тыс. ₸, выход ≈552,4 тыс. ₸. Приоритет: связность. Проверить полноту данных. Выборка неполная.",0.34162103746397693,4,distributor,role margin=0.00; cluster stability=0.55
26,100000005933757100,peripheral,0.9888790035587188,"Отправителей 4; вход ≈1,25 млн ₸, выход ≈3,00 млн ₸. Приоритет: связность. Проверить полноту данных. Выборка неполная.",0.2725,13,distributor,role margin=0.00
27,100000002957787100,distributor,0.9884341637010676,"Отправителей 4; вход ≈85,0 тыс. ₸, выход ≈1,28 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9840652017291067,0,transit,нет существенной по наблюдаемым данным
28,100000005382566100,peripheral,0.9879893238434164,"Отправителей 7; вход ≈393,1 тыс. ₸, выход ≈50,0 тыс. ₸. Приоритет: масштаб и влияние. Проверить полноту данных. Внешние поступления могут быть скрыты.",0.3073562106239956,17,consolidator,role margin=0.00
29,100000005910114100,distributor,0.9875444839857651,"Отправителей 3; вход ≈326,1 тыс. ₸, выход ≈1,47 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9801260806916426,0,transit,нет существенной по наблюдаемым данным
30,100000005287097100,distributor,0.9870996441281139,"Отправителей 2; вход ≈127,2 тыс. ₸, выход ≈697,3 тыс. ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9473487031700287,5,transit,нет существенной по наблюдаемым данным
31,100000004847758100,distributor,0.9866548042704626,"Отправителей 4; вход ≈115,2 тыс. ₸, выход ≈488,8 тыс. ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.958161023054755,0,peripheral,cluster stability=0.42
32,100000004679953100,consolidator,0.9862099644128114,"Отправителей 3; вход ≈343,5 тыс. ₸, выход ≈34,1 тыс. ₸. Приоритет: связность. Проверить сбор средств. Выборка неполная.",0.9579386572787958,4,peripheral,нет существенной по наблюдаемым данным
33,100000005339662100,peripheral,0.9857651245551602,"Отправителей 4; вход ≈202,9 тыс. ₸, выход ≈295,2 тыс. ₸. Приоритет: масштаб и влияние. Проверить полноту данных. Выборка неполная.",0.34700288184438044,14,distributor,role margin=0.00
34,100000008637537100,peripheral,0.9853202846975089,"Отправителей 3; вход ≈619,9 тыс. ₸, выход ≈2,35 млн ₸. Приоритет: масштаб и влияние. Проверить полноту данных. Внешние поступления могут быть скрыты.",0.32897694524495674,38,distributor,role margin=0.00; cluster stability=0.63
35,100000004759121100,peripheral,0.9848754448398577,"Отправителей 6; вход ≈710,0 тыс. ₸, выход ≈312,0 тыс. ₸. Приоритет: масштаб и влияние. Проверить полноту данных. Выборка неполная.",0.29752017066132064,0,consolidator,role margin=0.00
36,100000005782781100,distributor,0.9844306049822064,"Отправителей 6; вход ≈171,9 тыс. ₸, выход ≈1,26 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9559888328530259,7,transit,нет существенной по наблюдаемым данным
37,100000007442518100,distributor,0.9839857651245552,"Отправителей 5; вход ≈510,0 тыс. ₸, выход ≈4,42 млн ₸. Приоритет: масштаб и влияние. Проверить распределение средств. Выборка неполная.",0.9377845821325648,28,peripheral,нет существенной по наблюдаемым данным
38,100000005074393100,transit,0.983540925266904,"Отправителей 4; вход ≈563,0 тыс. ₸, выход ≈685,5 тыс. ₸. Приоритет: связность. Проверить передачу средств дальше. Выборка неполная.",0.7696384918464119,12,peripheral,нет существенной по наблюдаемым данным
39,100000008512552100,transit,0.9830960854092526,"Отправителей 4; вход ≈394,4 тыс. ₸, выход ≈1,30 млн ₸. Приоритет: связность. Проверить передачу средств дальше. Выборка неполная.",0.8833708164380536,15,peripheral,нет существенной по наблюдаемым данным
40,100000003635170100,transit,0.9826512455516014,"Отправителей 3; вход ≈268,5 тыс. ₸, выход ≈253,5 тыс. ₸. Приоритет: масштаб и влияние. Проверить передачу средств дальше. Выборка неполная.",0.8390935109840629,10,peripheral,cluster stability=0.54
41,100000008710791100,distributor,0.9822064056939501,"Отправителей 3; вход ≈181,5 тыс. ₸, выход ≈5,52 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9739499279538906,2,transit,нет существенной по наблюдаемым данным
42,100000008733194100,peripheral,0.9817615658362989,"Отправителей 4; вход ≈251,4 тыс. ₸, выход ≈159,7 тыс. ₸. Приоритет: связность. Проверить полноту данных. Выборка неполная.",0.3455910410818563,12,consolidator,role margin=0.00
43,100000008489922100,distributor,0.9813167259786477,"Отправителей 3; вход ≈262,0 тыс. ₸, выход ≈3,79 млн ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.97539265129683,2,transit,нет существенной по наблюдаемым данным
44,100000004076740100,peripheral,0.9808718861209964,"Отправителей 3; вход ≈93,2 тыс. ₸, выход ≈125,0 тыс. ₸. Приоритет: связность. Проверить полноту данных. Выборка неполная.",0.36699027377521615,32,distributor,role margin=0.00
45,100000001899164100,peripheral,0.9804270462633452,"Отправителей 4; вход ≈291,7 тыс. ₸, выход ≈76,5 тыс. ₸. Приоритет: масштаб и влияние. Проверить полноту данных. Выборка неполная.",0.3157032946157503,9,consolidator,role margin=0.00
46,100000002527114100,distributor,0.979982206405694,"Отправителей 3; вход ≈129,0 тыс. ₸, выход ≈3,29 млн ₸. Приоритет: масштаб и влияние. Проверить распределение средств. Внешние поступления могут быть скрыты.",0.9675144092219021,1,peripheral,нет существенной по наблюдаемым данным
47,100000007639767100,distributor,0.9795373665480427,"Отправителей 4; вход ≈90,9 тыс. ₸, выход ≈822,2 тыс. ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9528440201729107,30,peripheral,cluster stability=0.59
48,100000008730846100,transit,0.9790925266903915,"Отправителей 7; вход ≈155,0 тыс. ₸, выход ≈363,4 тыс. ₸. Приоритет: связность. Проверить передачу средств дальше. Выборка неполная.",0.8589482092789413,10,peripheral,нет существенной по наблюдаемым данным
49,100000002723538100,distributor,0.9786476868327402,"Отправителей 3; вход ≈105,6 тыс. ₸, выход ≈560,5 тыс. ₸. Приоритет: связность. Проверить распределение средств. Выборка неполная.",0.9428902460047099,4,transit,нет существенной по наблюдаемым данным
50,100000008547948100,distributor,0.978202846975089,"Отправителей 6; вход ≈212,7 тыс. ₸, выход ≈5,19 млн ₸. Приоритет: масштаб и влияние. Проверить распределение средств. Выборка неполная.",0.9695082853025937,2,transit,нет существенной по наблюдаемым данным
