rank,gid,role,priority_score,why,role_score,cluster_id,secondary_role,uncertainty_reason
1,100000003115284100,consolidator,1.0,"P=1.000: K=0.85, E=0.98, S=0.99, T=0.93; role=consolidator, conf=0.74",0.7416769554655387,10,coordinator,role margin=0.06
2,100000003684369100,coordinator,0.9995551601423488,"P=1.000: K=0.83, E=1.00, S=0.84, T=0.86; role=coordinator, conf=0.79",0.7873665914195891,3,peripheral,нет существенной по наблюдаемым данным
3,100000004070318100,transit,0.9991103202846975,"P=0.999: K=0.93, E=0.96, S=0.73, T=0.91; role=transit, conf=0.90",0.897712127904438,0,peripheral,нет существенной по наблюдаемым данным
4,100000008603629100,coordinator,0.9986654804270463,"P=0.999: K=0.92, E=1.00, S=0.52, T=0.99; role=coordinator, conf=0.61",0.6085017674461052,4,transit,role margin=0.03
5,100000006866783100,distributor,0.998220640569395,"P=0.998: K=0.85, E=1.00, S=0.68, T=0.98; role=distributor, conf=0.82",0.8227126972668197,0,coordinator,нет существенной по наблюдаемым данным
6,100000008346837100,distributor,0.9977758007117438,"P=0.998: K=0.94, E=0.97, S=0.64, T=0.77; role=distributor, conf=0.97",0.9730669066558763,12,transit,нет существенной по наблюдаемым данным
7,100000008165763100,transit,0.9973309608540926,"P=0.997: K=0.88, E=0.97, S=0.83, T=0.62; role=transit, conf=0.85",0.8458364204674503,3,peripheral,нет существенной по наблюдаемым данным
8,100000008477350100,distributor,0.9968861209964412,"P=0.997: K=0.90, E=0.99, S=0.59, T=0.82; role=distributor, conf=0.99",0.99,0,peripheral,нет существенной по наблюдаемым данным
9,100000000331309100,distributor,0.99644128113879,"P=0.996: K=0.87, E=1.00, S=0.64, T=0.77; role=distributor, conf=0.98",0.9816117735143006,6,coordinator,нет существенной по наблюдаемым данным
10,100000000343175100,distributor,0.9959964412811388,"P=0.996: K=0.81, E=0.98, S=0.84, T=0.69; role=distributor, conf=0.99",0.9878690882712882,10,peripheral,нет существенной по наблюдаемым данным
11,100000003016635100,distributor,0.9955516014234875,"P=0.996: K=0.74, E=0.99, S=0.68, T=0.98; role=distributor, conf=0.92",0.9160506452098807,5,coordinator,нет существенной по наблюдаемым данным
12,100000004156082100,distributor,0.9951067615658363,"P=0.995: K=0.76, E=0.97, S=0.82, T=0.82; role=distributor, conf=0.98",0.979089615984367,14,transit,нет существенной по наблюдаемым данным
13,100000004400305100,distributor,0.994661921708185,"P=0.995: K=0.85, E=1.00, S=0.50, T=0.92; role=distributor, conf=0.99",0.99,0,transit,нет существенной по наблюдаемым данным
14,100000008304139100,distributor,0.9942170818505338,"P=0.994: K=0.95, E=0.98, S=0.73, T=0.47; role=distributor, conf=0.98",0.9799894028068374,3,peripheral,нет существенной по наблюдаемым данным
15,100000001857829100,transit,0.9937722419928826,"P=0.994: K=0.84, E=0.97, S=0.49, T=0.94; role=transit, conf=0.87",0.870628577588558,4,peripheral,нет существенной по наблюдаемым данным
16,100000007908818100,peripheral,0.9933274021352313,"P=0.993: K=0.85, E=0.90, S=0.99, T=0.24; role=peripheral, conf=0.31",0.31456107047826665,3,consolidator,role margin=0.00
17,100000001530983100,peripheral,0.9928825622775801,"P=0.993: K=0.68, E=0.98, S=0.98, T=0.39; role=peripheral, conf=0.29",0.2940168296751016,5,distributor,role margin=0.00
18,100000000437046100,distributor,0.9924377224199288,"P=0.992: K=0.79, E=1.00, S=0.52, T=0.85; role=distributor, conf=0.95",0.9538032460783697,0,coordinator,нет существенной по наблюдаемым данным
19,100000004403675100,coordinator,0.9919928825622776,"P=0.992: K=0.84, E=0.90, S=0.95, T=0.44; role=coordinator, conf=0.93",0.928219156706094,17,peripheral,нет существенной по наблюдаемым данным
20,100000004351795100,distributor,0.9915480427046264,"P=0.992: K=0.87, E=0.97, S=0.76, T=0.43; role=distributor, conf=0.98",0.9762032810587817,0,peripheral,нет существенной по наблюдаемым данным
21,100000006889963100,transit,0.9911032028469751,"P=0.991: K=0.56, E=0.96, S=0.99, T=0.76; role=transit, conf=0.82",0.8186350431674054,6,peripheral,нет существенной по наблюдаемым данным
22,100000003701161100,consolidator,0.9906583629893239,"P=0.991: K=0.70, E=0.97, S=0.76, T=0.77; role=consolidator, conf=0.96",0.9610019801435139,20,peripheral,нет существенной по наблюдаемым данным
23,100000008748914100,distributor,0.9902135231316725,"P=0.990: K=0.77, E=0.98, S=0.62, T=0.78; role=distributor, conf=0.98",0.9798815927124866,3,transit,нет существенной по наблюдаемым данным
24,100000008686313100,consolidator,0.9897686832740213,"P=0.990: K=0.64, E=0.99, S=0.76, T=0.83; role=consolidator, conf=0.98",0.9812463153318681,0,peripheral,нет существенной по наблюдаемым данным
25,100000005527892100,peripheral,0.9893238434163701,"P=0.989: K=0.90, E=0.92, S=0.78, T=0.29; role=peripheral, conf=0.35",0.3461460636177016,4,distributor,role margin=0.00; cluster stability=0.55
26,100000002957787100,distributor,0.9888790035587188,"P=0.989: K=0.83, E=0.97, S=0.52, T=0.73; role=distributor, conf=0.98",0.9839369621215112,0,transit,нет существенной по наблюдаемым данным
27,100000005933757100,peripheral,0.9884341637010676,"P=0.988: K=0.78, E=0.98, S=0.43, T=0.69; role=peripheral, conf=0.27",0.2725,13,distributor,role margin=0.00
28,100000005382566100,peripheral,0.9879893238434164,"P=0.988: K=0.52, E=0.92, S=1.00, T=0.68; role=peripheral, conf=0.31",0.31026746127445404,17,consolidator,role margin=0.00
29,100000005910114100,distributor,0.9875444839857651,"P=0.988: K=0.84, E=0.98, S=0.52, T=0.68; role=distributor, conf=0.98",0.9799428812522206,0,transit,нет существенной по наблюдаемым данным
30,100000005287097100,distributor,0.9870996441281139,"P=0.987: K=0.76, E=0.90, S=0.77, T=0.69; role=distributor, conf=0.94",0.9444175121392759,5,transit,нет существенной по наблюдаемым данным
31,100000004847758100,distributor,0.9866548042704626,"P=0.987: K=0.83, E=0.95, S=0.73, T=0.48; role=distributor, conf=0.96",0.9579045438395641,0,peripheral,cluster stability=0.36
32,100000004679953100,consolidator,0.9862099644128114,"P=0.986: K=0.91, E=0.89, S=0.73, T=0.38; role=consolidator, conf=0.96",0.9578742015448374,4,peripheral,нет существенной по наблюдаемым данным
33,100000005339662100,peripheral,0.9857651245551602,"P=0.986: K=0.63, E=0.94, S=0.77, T=0.68; role=peripheral, conf=0.35",0.35028215181003514,14,distributor,role margin=0.00
34,100000008637537100,peripheral,0.9853202846975089,"P=0.985: K=0.36, E=0.98, S=0.99, T=0.83; role=peripheral, conf=0.33",0.3326409340333978,38,distributor,role margin=0.00; cluster stability=0.63
35,100000004759121100,peripheral,0.9848754448398577,"P=0.985: K=0.66, E=0.96, S=0.76, T=0.47; role=peripheral, conf=0.30",0.29753091328364706,0,consolidator,role margin=0.00
36,100000005782781100,distributor,0.9844306049822064,"P=0.984: K=0.79, E=0.94, S=0.49, T=0.75; role=distributor, conf=0.96",0.9551644353756267,7,transit,нет существенной по наблюдаемым данным
37,100000007442518100,distributor,0.9839857651245552,"P=0.984: K=0.71, E=0.98, S=0.78, T=0.51; role=distributor, conf=0.93",0.9343587526153725,28,peripheral,нет существенной по наблюдаемым данным
38,100000005074393100,transit,0.983540925266904,"P=0.984: K=0.72, E=0.95, S=0.83, T=0.47; role=transit, conf=0.77",0.7696384918464119,12,peripheral,нет существенной по наблюдаемым данным
39,100000008512552100,transit,0.9830960854092526,"P=0.983: K=0.73, E=0.92, S=0.43, T=0.90; role=transit, conf=0.88",0.8833708164380536,15,peripheral,нет существенной по наблюдаемым данным
40,100000003635170100,transit,0.9826512455516014,"P=0.983: K=0.60, E=0.93, S=0.82, T=0.73; role=transit, conf=0.84",0.8390935109840629,10,peripheral,cluster stability=0.54
41,100000008733194100,peripheral,0.9822064056939501,"P=0.982: K=0.87, E=0.85, S=0.52, T=0.46; role=peripheral, conf=0.35",0.3464934213572752,12,consolidator,role margin=0.00
42,100000008489922100,distributor,0.9817615658362989,"P=0.982: K=0.77, E=0.95, S=0.45, T=0.67; role=distributor, conf=0.97",0.9723515406024239,2,transit,нет существенной по наблюдаемым данным
43,100000008710791100,distributor,0.9813167259786477,"P=0.981: K=0.80, E=0.91, S=0.53, T=0.58; role=distributor, conf=0.97",0.9716416150171727,2,transit,нет существенной по наблюдаемым данным
44,100000001899164100,peripheral,0.9808718861209964,"P=0.981: K=0.61, E=0.89, S=0.82, T=0.49; role=peripheral, conf=0.32",0.3172878314088964,9,consolidator,role margin=0.00
